ID,Branch,LoteNum,Stage,Location,DateCreated,Notes,Variedad_1,Cantidad_1,Variedad_2,Cantidad_2,Variedad_3,Cantidad_3,Variedad_4,Cantidad_4,Variedad_5,Cantidad_5,Variedad_6,Cantidad_6,Variedad_7,Cantidad_7,Variedad_8,Cantidad_8,Variedad_9,Cantidad_9,Variedad_10,Cantidad_10,Variedad_11,Cantidad_11,Variedad_12,Cantidad_12,Variedad_13,Cantidad_13,Variedad_14,Cantidad_14,Variedad_15,Cantidad_15,Variedad_16,Cantidad_16,Variedad_17,Cantidad_17,Variedad_18,Cantidad_18,Variedad_19,Cantidad_19,Variedad_20,Cantidad_20
L5-FSM,FSM,5,FLORACIÓN,CUARTO 1,2026-01-07,,Banana Latte,25,Red Red Wine,7,HG23 (Michael Jordan),20,Kandy Kush,10,Wedding Cake,15,Apple Fritter,1,Desconocida,2,,,,,,,,,,,,,,,,,,,,,,,,,,
L4-FSM,FSM,4,FLORACIÓN,CUARTO 2,2026-01-07,,HG23 (Michael Jordan),7,ReCon,1,Gran Jefa,1,Runtz,1,Apple Fritter,1,Purple Diesel,1,Zallah Bread,1,Banana Latte,25,Kandy Kush,15,Red Red Wine,6,,,,,,,,,,,,,,,,,,,,
L6-FSM,FSM,6,TRANSICIÓN,CUARTO 3,2026-01-07,,Kandy Kush,3,King Kush Breath,2,Red Red Wine,8,Sugar Cane,3,Gran Jefa,5,Runtz,5,HG23 (Michael Jordan),4,ReCon,2,Zallah Bread,3,Blackberry Honey,2,Apple Fritter,8,,,,,,,,,,,,,,,,,,
L7-SMB,SMB,7,CLONADO,ENFERMERÍA,2026-01-08,,Kandy Kush,14,Sugar Cane,5,ReCon,5,King Kush Breath,5,Gran Jefa,6,Banana Latte,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
